subject,task,task_display,group,value
sub-003,j2,J2,Visual,0.04209647595342216
sub-003,j2,J2,Somato-Motor,0.17311891988958136
sub-003,j2,J2,Dorsal Attention,0.13800077886402326
sub-003,j2,J2,Salience/Ventral Attention,0.10380923977119993
sub-003,j2,J2,Limbic,0.18334637671685589
sub-003,j2,J2,Control,0.12306140609075035
sub-003,j2,J2,Default,0.1638542489401757
sub-003,j3,J3,Subcortical,0.12492667018241571
sub-003,j3,J3,Visual,0.06876377132861729
sub-003,j3,J3,Somato-Motor,0.24323665602526093
sub-003,j3,J3,Dorsal Attention,0.22960052341519094
sub-003,j3,J3,Salience/Ventral Attention,0.21701762768274574
sub-003,j3,J3,Limbic,0.12686780192507038
sub-003,j3,J3,Control,0.17859797497382776
sub-003,j3,J3,Default,0.20773291444969763
sub-003,j4,J4,Subcortical,0.0742098644877758
sub-003,j4,J4,Visual,0.19729473332618255
sub-003,j4,J4,Somato-Motor,0.21713724765005415
sub-003,j4,J4,Dorsal Attention,0.20155130801804808
sub-003,j4,J4,Salience/Ventral Attention,0.20378540975432066
sub-003,j4,J4,Limbic,0.07491542151538957
sub-003,j4,J4,Control,0.07030302569906922
sub-003,j4,J4,Default,0.06646139191351853
sub-003,j5,J5,Subcortical,0.14247846300807812
sub-003,j5,J5,Visual,0.34238933935460475
sub-003,j5,J5,Somato-Motor,0.2991160414193243
sub-003,j5,J5,Dorsal Attention,0.31014804288426245
sub-003,j5,J5,Salience/Ventral Attention,0.3098436513213522
sub-003,j5,J5,Limbic,0.16700235358676185
sub-003,j5,J5,Control,0.21213892059962158
sub-003,j5,J5,Default,0.1710285237252936
sub-003,j6,J6,Subcortical,0.19227021433832095
sub-003,j6,J6,Visual,0.2819759392645362
sub-003,j6,J6,Somato-Motor,0.2725923069502855
sub-003,j6,J6,Dorsal Attention,0.2500228727236733
sub-003,j6,J6,Salience/Ventral Attention,0.2848066391008528
sub-003,j6,J6,Limbic,0.10079094420925568
sub-003,j6,J6,Control,0.23717642867403238
sub-003,j6,J6,Default,0.2366912152425666
sub-003,j7,J7,Subcortical,0.12310449267274926
sub-003,j7,J7,Visual,0.40718397513067794
sub-003,j7,J7,Somato-Motor,0.4231758600556101
sub-003,j7,J7,Dorsal Attention,0.4015446962324803
sub-003,j7,J7,Salience/Ventral Attention,0.37293445088081795
sub-003,j7,J7,Limbic,0.2831466610144861
sub-003,j7,J7,Control,0.3095165742712771
sub-003,j7,J7,Default,0.2806105558091409
sub-003,j8,J8,Subcortical,0.1283269031544063
sub-003,j8,J8,Visual,0.44052325360745254
sub-003,j8,J8,Somato-Motor,0.40579285683763405
sub-003,j8,J8,Dorsal Attention,0.408423116162754
sub-003,j8,J8,Salience/Ventral Attention,0.2898937620998753
sub-003,j8,J8,Limbic,0.18187070239562023
sub-003,j8,J8,Control,0.2573050914323282
sub-003,j8,J8,Default,0.27266036379947767
sub-004,memory,Memory,Subcortical,0.19386418382803877
sub-004,memory,Memory,Visual,0.3162222631889556
sub-004,memory,Memory,Somato-Motor,0.3046242772147538
sub-004,memory,Memory,Dorsal Attention,0.3130419762147734
sub-004,memory,Memory,Salience/Ventral Attention,0.3432166468211842
sub-004,memory,Memory,Limbic,0.19251529993992267
sub-004,memory,Memory,Control,0.25847163063220174
sub-004,memory,Memory,Default,0.23945880354160917
sub-004,counting,Counting,Subcortical,0.1984618080023626
sub-004,counting,Counting,Visual,0.3750353033901971
sub-004,counting,Counting,Somato-Motor,0.38083976211929116
sub-004,counting,Counting,Dorsal Attention,0.3524646093565125
sub-004,counting,Counting,Salience/Ventral Attention,0.3538859547982918
sub-004,counting,Counting,Limbic,0.16165679725603763
sub-004,counting,Counting,Control,0.2895821299491522
sub-004,counting,Counting,Default,0.2759842313159634
sub-004,j1,J1,Subcortical,0.30426081503696306
sub-004,j1,J1,Visual,0.4411392722614227
sub-004,j1,J1,Somato-Motor,0.41716627705079623
sub-004,j1,J1,Dorsal Attention,0.40121264957045993
sub-004,j1,J1,Salience/Ventral Attention,0.4355708152022926
sub-004,j1,J1,Limbic,0.2554625648710885
sub-004,j1,J1,Control,0.4091837299646614
